1;261;446;500;3
2;328;380;500;2
3;397;96;500;3
4;535;341;500;3
5;673;141;500;3
6;673;85;500;2
7;812;370;500;3
8;951;176;500;3
9;254;1;500;4
10;1021;59;500;2
11;1090;235;500;3
1;287;506;500;2
2;560;485;500;3
3;629;214;500;2
4;695;195;500;3
5;834;51;500;3
6;32;484;500;4
7;971;149;500;3
8;971;17;500;2
9;536;125;500;1
10;1022;153;500;4
11;1107;484;500;3
1;38;427;500;2
2;40;291;500;3
3;377;470;500;2
4;586;446;500;3
5;723;427;500;3
6;723;363;500;2
7;-454;495;500;4
8;861;544;500;3
9;996;29;500;3
10;524;310;500;4
11;1064;307;500;2
